name,price,description,sku,bottle_size,alcohol_vol,sugar_content,varietal,country,region,score,wine_type,group
Folonari Valpolicella Classico DOC,14.95,valpolicella classic red wine italy veneto region blend local grape variety bine give forward berry fruit supple approachable structure ruby red colour cherry spice aroma palate expect light body soft berry flavour crisp foodfriendly finish,828,750,12.5,4.0,valpolicella,Italy,Veneto,,red,LCBO
Ruffino Chianti,14.95,ruffinos original wine one world recognized tuscan wine wine dry mediumbodied wellstructured enjoy aroma flavour red berry cherry fruit spicy note touch pepper serve wild boar ragu grilled steak roasted vegetable,1743,750,12.5,4.0,chianti,Italy,Tuscany,,red,LCBO
Fontana Di Papa Red,14.75,grape foodfriendly wine grown volcanic soil hill southeast city rome light ruby colour aroma flavour strawberry cherry flower lightbodied fruity silky tannin wellsuited grilled meat pizza pasta firm cheese,3038,1500,12.0,10.0,blend,Italy,Lazio,,red,LCBO
Leeuwin Art Series Shiraz 2014,47.95,lot blackberry blueberry crushed white pepper aroma follow beautiful palate quartz mineral indian spice full body tangy bright acidity intense fruit yet always reserved score james suckling july,4929,750,13.5,2.0,shiraz/syrah,Australia,Western Australia,94.0,red,VINTAGES
Folonari Valpolicella Classico DOC,9.95,valpolicella classic red wine italy veneto region blend local grape variety bine give forward berry fruit supple approachable structure ruby red colour cherry spice aroma palate expect light body soft berry flavour crisp foodfriendly finish,6254,375,12.5,4.0,valpolicella,Italy,Veneto,,red,LCBO
"Torres Sangre De Toro Garnacha, Catalunya DO",14.0,familia torres one world admired wine brand sangre de toro deep ruby colour flavour blackberry cherry raspberry plum accented hint roasted coffee chocolate vanilla spice serve braised lamb steak kidney pie mild curry,6585,750,13.5,2.0,blend,Spain,Catalunya,,red,LCBO
KWV Roodeberg Red,13.0,roodeberg red classic blend cabernet shiraz merlot oak aged depth plexity aroma flavour mixed berry plum dried fruit accented note herb cedar spice serve grilled lamb smoked brisket firm cheese,7187,750,14.0,4.0,blend,South Africa,,,red,LCBO
Mogen David Concord KP,8.0,candied strawberry cherry fresh grape match grape tart,8789,750,11.0,158.0,red - sweet,USA,New York,,red,VINTAGES
Anselme La Fiole Du Pape Chateauneuf-Du-Pape AOC,45.0,signature twisted bottle represents gnarled vine chateauneufdupape region primarily grenache syrah fullbodied wine aroma flavour fresh red berry cherry oak spice serve braised meat mushroom risotto roasted game bird,12286,750,14.5,5.0,grenache/syrah,France,Rhône,,red,LCBO
Henry Of Pelham Pinot Noir VQA,16.95,henry pelham familyrun winery six generation history ontario wine country pinot noir express sense place example niagara peninsula e renowned coolclimate wine enjoy flavour raspberry cherry spice earthy spicy oak note finish,13904,750,12.5,10.0,pinot noir,Canada,Ontario,,red,LCBO
Cliff Lede Stags Leap District Cabernet Sauvignon 2016,119.95,cabernet sauvignon stag leap district blend cabernet sauvignon merlot petit verdot cabernet franc deep garnetpurple colored give note fresh blackcurrants warm plum unsmoked cigar tilled soil waft kirsch sandalwood dusty soil fullbodied richly fruited mouth firm backbone grainy tannin long earthy finish drink date score lisa perrottibrown mw oct,14217,750,14.9,5.0,cabernet sauvignon,USA,California,93.0,red,VINTAGES
Velletri Le Contrade Red IGP,18.95,italy velletri wine region known fine wine since earliest day ancient rome vineyard sheltered alban hill resulting vinefriendly climate experience aroma flavour blackberry pomegranate hint spicy oak serve cured meat hard cheese pasta dish,14878,2000,12.0,6.0,blend,Italy,Lazio,,red,LCBO
Sogrape Mateus Rosé,10.5,mateus rose iconic flaskshaped bottle introduced generation world wine fresh lightly sparkling versatile style pale salmon colour strawberry raspberry aroma flavour offdry lightly sparkling flavourful soft finish serve wellchilled appetizer,166,750,11.0,17.0,rose,Portugal,,,rose,LCBO
Remy Pannier Rose D'Anjou AOC,15.3,made cabernet franc grape grown france loire valley remy pannier perennial favourite appealing pale salmon colour aroma berry fruit hint spice light body ripe berry flavour delicate sweetness pair charcuterie salad cold pasta seafood,12641,750,10.5,17.0,cabernet franc,France,Loire,,rose,LCBO
Sogrape Mateus Rose,18.0,mateus rose iconic flaskshaped bottle introduced generation world wine fresh lightly sparkling versatile style pale salmon colour strawberry raspberry aroma flavour offdry lightly sparkling flavourful soft finish serve wellchilled appetizer,12781,1500,11.0,17.0,rose,Portugal,,,rose,LCBO
Flat Rock Pink Twisted Rosé 2018,17.95,exuberant fruitdriven wine put aroma flavour ripe strawberry raspberry cherry mineral zesty fresh tangy rose tasty choice grilled salmon surf turf vintage panel march,39974,750,13.0,13.0,rose  - dry,Canada,Ontario,,rose,VINTAGES
Beringer Main & Vine White Zinfandel,20.95,white zinfandel actually produced using dark red grape variety zinfandel light pink colour result stopped fermentation allows juice remain higher sweetness also retain pretty pink hue look aroma flavour melon strawberry citrus soft mediumsweet palate,60715,1500,10.0,40.0,rose,USA,California,,rose,LCBO
Wildass Rosé 2018,18.95,wildass cheeky side project stratus vineyard one niagara flashiest iconic winery winemaker jl groux master blend impressive note spring flower watermelon cherry round generous frame smooth long fresh lively wine popular easy addition next barbecue vintage panel april,71712,750,12.5,15.0,rose  - dry,Canada,Ontario,,rose,VINTAGES
Girls' Night Out Rosé VQA,13.95,fruity rose bursting aroma flavour field berry apple jelly citrus dry kiss residual sweetness mediumbodied lingering strawberry finish well suited variety flavourful dish,89862,750,12.5,14.0,rose,Canada,Ontario,,rose,LCBO
Ogier Cotes Du Ventoux Rose AOC,14.75,south rhone e bright summer sipper pours delicate salmon colour followed aroma suggest pink grapefruit strawberry sweet herb juicy flavour continue dry palate hint citrus red pepper jelly leading pleasant finish,134916,750,13.0,2.0,rose,France,Rhône,,rose,LCBO
Chivite Gran Feudo Rose,13.0,made navarra region spain expressive rose show versatile intense pink colour followed aromatic bouquet strawberry citrus fresh berry flavour resonate palate bright acidity provides balance,165845,750,13.0,5.0,rose,Spain,,,rose,LCBO
Sibling Rivalry Pink VQA,14.95,clear pink rose colour aroma strawberry raspberry rhubarb rose petal palate light medium bodied slight berry sweetness soft dry finish,171033,750,12.0,10.0,rose,Canada,Ontario,,rose,LCBO
Hex Vom Dasenstein Rosé 2015,18.55,flavour gently sweet rose always find pany whether appetizer hour alongside light fare tempting note strawberry bine slowly ease finish,237536,750,11.5,,pinot noir,Germany,Baden,,rose,LCBO
Pfaffl Austrian Rose 2015,18.6,brillant dark pink fragrance rose tender raspberry nose animating spice palate still fruity refreshing acidity round finish wonderful aperitif serve light fresh salad enjoy pure partydrink refreshment,248426,750,12.5,,zweigelt,Austria,Niederösterreich,,rose,LCBO
Veuve Clicquot Ice Jacket,74.35,refined iconic e cooler keep wine chilled two hour perfect gift go ready enjoy upon arrival,37069,750,12.0,9.0,champagne,France,,,sparkling,LCBO
Veuve Clicquot Demi Sec Champagne,81.2,founded champagne house recognized worldwide quality class made offdry style expect lovely aroma flavour golden apple pear apricot brioche note stone fruit citrus lead rich creamy plex finish perfect dark chocolate panettone,38307,750,12.0,42.0,pinot noir/chardonnay,France,Champagne,,sparkling,LCBO
Deutz Brut Rosé Champagne,79.95,nicely mature evolved showing attractive baked red berry fruit plenty nuttyyeastyoxidative character palate fullish plump vague impression sweetness red berry fruit flavour lingering finish lot appeal tasted october score john szabo m nov,92833,750,12.0,10.0,sparkling - dry,France,Champagne,92.0,sparkling,VINTAGES
Louis Roederer Premier Brut Champagne,41.95,elegant champagne aperitif style flavor crushed blackberry biscuit spring blossom meyer lemon zest riding finely detailed bead underscored streak salinity emerges fresh finish drink score alison napjus nov,93054,375,12.0,12.0,champagne,France,Champagne,92.0,sparkling,VINTAGES
Sarl Champagne William Saintot Cuvee Seduction Champagne,82.5,light gold gray reflection fine bubble buttery aroma roasted note e fruit freshness citrus citronella finale attractive bottle everything harmony ideal aperitif beginning meal,100197,750,12.0,,chardonnay,France,Champagne,,sparkling,LCBO
Moet & Chandon Imperial Champagne,24.1,pale straw colour fine mousse defined aroma apple pear citrus fresh baked bread palate extradry medium body lovely replay flavour nose mineral note clean finish,111294,200,12.0,10.0,champagne,France,,,sparkling,LCBO
Perrier-Jouët Grand Brut Champagne,74.0,pale lemon colour delicate aroma brioche baked apple citrus extra dry fine mousse flavour apple soft citrus lengthy finish,155341,750,12.0,11.0,pinot noir/chardonnay,France,Champagne,,sparkling,LCBO
Laurent-Perrier Cuvée Brut Rosé Champagne,99.95,selling rose champagne world refreshing bubbly made pinot noir grape display aroma raspberry redcurrant flint sour cherry citrus made fine dining delight rack lamb rosemary garlic,158550,750,12.0,14.0,champagne,France,Champagne,,sparkling,VINTAGES
Champagne Victoire Brut Prestige,40.0,straw colour fine bubble soft apple pear brioche aroma mineral note dry fruit flavour lively acidity finish,190025,750,12.0,11.0,champagne,France,Champagne,,sparkling,LCBO
Armand de Brignac Ace of Spades Brut Gold Champagne,305.95,bottle look like e straight treasure chest solid gold wine rich oldworld tradition champagne blending reward lucky enough receive striking gift,220244,750,12.5,9.0,champagne,France,Champagne,,sparkling,VINTAGES
Soutiran Brut Signature Grand Cru,69.85,bine aroma stewed pear vine peach touch torrefaction aniseed effervescence creamy smooth palate red yellow fruit aroma blend chalky minerality brings saline undertone cuvee reflects true identity house,232230,750,12.5,,pinot noir/chardonnay,France,Champagne,,sparkling,LCBO
Bollinger Special Cuvée Brut Champagne,49.95,lovely aroma flavor ripe black cherry currant fruit graphite toast candied meyer lemon zest set racy champagne refined finely detailed mousse mouthwatering finish long spicy drink score alison napjus nov,234104,375,12.5,8.0,champagne,France,Champagne,93.0,sparkling,VINTAGES
Flat Rock Twisted White,17.95,na,1578,750,12.0,17.0,white,Canada,Ontario,,white,VINTAGES
Angels Gate Chardonnay VQA,14.95,meticulous vineyard practice ensure optimum fruit quality wine elegant style enjoy flavour apple pear melon citrus along hint ripe peach medium body made unoaked style lively acidity balanced finish serve poultry fish pasta creamy sauce,1818,750,13.0,4.0,chardonnay,Canada,Ontario,,white,LCBO
Susana Balbo Crios Torrontés,14.95,susana balbo called evita wine queen torrontes crios torrontes floral fruity apple blossom peach orange citrus lime argentina signature grape work smoked meat seafood,1834,750,13.5,2.0,torrontes,Argentina,,,white,VINTAGES
Mouton Cadet Bordeaux White AOC,15.95,france leading wine family wine world introduction bordeaux region since blend sauvignon blanc semillon muscadelle showing flavour citrus soft pear lightly floral herbaceous note serve seafood pasta shellfish salad,2527,750,12.0,2.0,sauvignon blanc/semillon,France,Bordeaux,,white,LCBO
"Deinhard Green Label Riesling, Mosel",11.95,vineyard germany mosel valley source world finest riesling pouring bright pale straw colour green label aroma apple melon citrus palate soft medium sweetness balanced acidity minerally finish,8094,750,10.0,28.0,riesling,Germany,,,white,LCBO
Navip Riesling,9.45,serbia fruska gora wine region lie along river danube home serbia finest wine riesling lightbodied aromatic hint sweetness note honey citrus green apple serve veal schnitzel cheesefilled pastry,9548,750,11.5,20.0,riesling,Serbia,,,white,LCBO
Willm Réserve Riesling,19.95,think riesling always sweet think riesling alsace like classic often bone dry feature aroma flavour lime juice peach mineral ultimate food wine pair grilled shrimp pesto pasta gourmet sausage,11452,750,12.0,5.0,riesling,France,Alsace,,white,VINTAGES
Moselland Bernkasteler Kurfurstlay Riesling,11.95,germany moselland cooperative known excellent value fresh lively wine enjoy aroma flavour ripe apple apricot citrus along balanced sweetness hint riesling typical minerality serve wellchilled seafood asianinspired noodle dish favourite curry,15875,750,9.5,35.0,riesling,Germany,Mosel,,white,LCBO
Peller Family Vineyards Chardonnay,11.95,chardonnay world popular white wine known flavour ripe apple citrus smooth mediumbodied wine hint spicy oak crisp balanced finish serve roast chicken grilled vegetable salad,16352,1000,12.0,8.0,chardonnay,Canada,,,white,LCBO
Peller Family Vineyards Pinot Grigio,11.95,easy drinking refreshing white wine sourced vineyard canada around world show delicate aroma apple tropical fruit citrus hint spice dry lightbodied refreshing pear green apple citrus flavour perfect casual sipping pair light fare salad appetizer,16394,1000,12.0,8.0,pinot grigio,Canada,,,white,LCBO
Citra Pinot Grigio Terre Di Chieti IGP,9.55,sunny vineyard terre di chieti lie mountain sea italy abruzzo region zesty handharvested pinot grigio aroma flavour citrus stone fruit touch almond finish serve seafood chicken salad light cuisine,17483,750,12.5,7.0,pinot grigio,Italy,Abruzzo,,white,LCBO
G.A. Schmitt Winzertanz,15.0,one leading german wine brand market delivering good value consistently clean crisp fruitdriven wine offdry fruity aroma flavour ripe apple peach pear citrus serve wellchilled spicy fare thai spring roll schnitzel smoked kasseler pork chop,20263,1500,9.0,36.0,blend,Germany,,,white,LCBO
Spumante Bambino,9.45,vivacious sparkler favourite ontario since early gaining fame casual fruity character series zany mercials aroma flavour sweet table grape ripe apple along light floral note serve fried chicken selection savoury appetizer,1826,750,7.0,71.0,sparkling,Canada,,,sparkling,LCBO
Spumante Bambino,15.95,vivacious sparkler favourite ontario since early gaining fame casual fruity character series zany mercials aroma flavour sweet table grape ripe apple along light floral note serve fried chicken selection savoury appetizer,4762,1500,7.0,71.0,sparkling,Canada,,,sparkling,LCBO
Henkell Trocken,8.8,since launch henkell e germany recognized sparkling wine brand lively effervescence panies citrus fruit flavour enjoy light sweetness balanced finish ideal entertaining pair appetizer seafood poultry light fruitbased dessert,40469,375,11.5,22.0,sparkling,Germany,,,sparkling,LCBO
Blu Giovello Prosecco,15.95,prosecco distinctive blue bottle glass bright aroma flavour lemon zest ripe pear kiwi pineapple note wildflower palate dry crisp refreshing lively bubble fresh pear tangy citrus note finish great paired appetizer,85316,750,11.0,17.0,prosecco,Italy,,,sparkling,LCBO
Spumante Bambino,15.95,vivacious sparkler favourite ontario since early gaining fame casual fruity character series zany mercials aroma flavour sweet table grape ripe apple along light floral note serve fried chicken selection savoury appetizer,96966,4,7.0,71.0,sparkling,Canada,,,sparkling,LCBO
13th Street Cuvée Brut Rosé,29.95,latest addition th street rose nv similar house style say deeply coloured light red bubble notably ripe even lightly driedoxidative red fruit autumnal character substantial sparkling wine sure fine length depth one id serve table rather aperitif try veal scaloppini roast chicken lemon herb even duck breast cherry gastrique score john szabo m march,147504,750,12.5,8.0,sparkling - dry,Canada,Ontario,90.0,sparkling,VINTAGES
Sexy Sparkling Rosé Brut,30.9,southern portugal hour sunlight annually add wine warm fruit flavour cheeky pink sparkler start subtle citrusy note move red berry hint freshly toasted bread perfect patio snacking,155878,750,12.5,,sparkling,Portugal,,,sparkling,LCBO
Henkell Trocken,26.0,since launch henkell e germany recognized sparkling wine brand lively effervescence panies citrus fruit flavour enjoy light sweetness balanced finish ideal entertaining pair appetizer seafood poultry light fruitbased dessert,161711,1500,11.5,22.0,sparkling,Germany,,,sparkling,LCBO
Quinta Sao Simao Aguieira 2012,13.35,clear strong ruby plex aroma hint ripe fruit floral fragrance strong firm ripe tannin giving structure fruity persistent finish,193572,750,13.0,,touriga nacional/tinta roriz,Portugal,,,sparkling,LCBO
Huff Estates Cuvée Peter F. Huff 2015,32.25,named lanny catherine huff late son classy traditionalmethod sparkler always impressive powerhouse nose offer invitingly smoky fruit palate plex array apple grapefruit lemon creamy butter earth toast underlying mineral note deftly achieved wine serving throughout holiday meal vintage panel march,198754,750,12.0,7.0,sparkling,Canada,Ontario,,sparkling,VINTAGES
Jacob's Creek Chardonnay Pinot Noir Sparkling,15.0,brilliant pale lemon colour aroma white grapefruit yellow apple biscuit extra dry medium bodied refreshing flavour lemonlime white peach mineral,210633,750,11.5,13.0,sparkling,Australia,,,sparkling,LCBO
De Chanceny Cremant De Loire Rose Brut,20.05,pale salmon colour fine bubble supple aroma pink grapefruit strawberry fresh bread dough dry light bodied zesty flavour crisp red apple red berry mineral hint toast,211466,750,12.5,12.0,cabernet franc,France,Loire,,sparkling,LCBO
Wolf Blass Yellow Label Cabernet Sauvignon,10.0,attention detail creates quality consistency wolf blass wine known yellow label cab made fruit australia langhorne creek mclaren vale region enjoy flavour cassis blackberry along herbal note hint spicy oak superb pairing roast lamb rosemary,15941,375,13.5,5.0,cabernet sauvignon,Australia,,,red,LCBO
JJ McWilliam Shiraz Cabernet,10.4,mcwilliam family year winemaking experience australia new south wale expect generous aroma flavour black currant cherry plum finishing spicy vanilla eucalyptus note smooth balanced texture perfect barbecued meat aged cheese savoury appetizer,16741,750,13.5,10.0,shiraz/cabernet sauvignon,Australia,,,red,LCBO
Bolla Valpolicella Classico,14.95,bolla wine reflect true italian style express terroir veneto region made handharvested grape aged two month oak enjoy aroma flavour cherry raspberry toasted nut hint licorice spice serve pizza pasta roast chicken pomegranate glaze,16840,750,12.5,4.0,valpolicella,Italy,Veneto,,red,LCBO
Viña Tarapacá Gran Reserva Cabernet Sauvignon 2017,17.95,dense dark aroma raisin blackberry set full chunky palate creamy texture mildly salty berry flavor include whack oak spice oakled flavor settle finish taste slightly baked feel warm score michael schachner wine enthusiast may,18721,750,14.5,6.0,cabernet sauvignon,Chile,Maipo Valley,90.0,red,VINTAGES
Jacob's Creek Shiraz Cabernet Sauvignon,24.0,legendary south eastern australia jacob creek present modern expression classic aussie blend shiraz cabernet expect aroma cassis mint vanilla palate dry berry flavour leading vanilla toasty oak finish serve ribeye steak lamb burger grilled mushroom,19612,1500,13.9,6.0,shiraz/cabernet sauvignon,Australia,,,red,LCBO
Fontanafredda Barolo DOCG,32.0,nebbiolo grape give u barolo finest variety italy rolling piedmont region savour aroma flavour plum cherry licorice spice dry balanced acidity firm tannic backbone lovely fruit flavour linger finish serve game meat mushroom risotto,20214,750,13.5,3.0,nebbiolo,Italy,Piedmont,,red,LCBO
Yellow Tail Shiraz,24.0,australia largest familyowned pany wine thats easy drink easy understand dry fullbodied softly structured aroma flavour blackberry cherry liquorice vanilla bean chocolate ripe berryfruit note lead long spicy finish serve grilled lamb chop,20289,1500,13.5,13.0,shiraz/syrah,Australia,,,red,LCBO
Caparzo La Casa Brunello di Montalcino 2013,79.95,singlevineyard brunello di montalcino vigna la casa immediately distinguished aroma smoke flint dark fruit wine offer depth pared caparzos base brunello excellent vintage unlike base brunello however wine definitely require time open flesh continues bottle evolution fruit little le accessible young stage wine lifespan show lot energy tightness core soften blossom next year worth wait drink date score monica larner feb,20750,750,14.0,4.0,sangiovese,Italy,Tuscany,94.0,red,VINTAGES
Irony Cabernet Sauvignon 2016,24.95,produced jay chris indelicato cab dry fullbodied deep ruby glass plum black cherry raspberry mint dark chocolate flavour palate score natalie maclean jan,25106,750,14.5,5.0,cabernet sauvignon,USA,California,90.0,red,VINTAGES
Fonseca Periquita Red,9.05,era wine sold barrel periquita portugal first bottled wine made easygoing castelao grape variety wine dry fullbodied raspberry flavour fine balancing acidity moderate tannin provide structure finish pair meat dish game firm cheese,25262,750,13.0,3.0,blend,Portugal,Setubal,,red,LCBO
Ruffino Il Ducale Toscana IGP,19.95,innovative blend traditional sangiovese proportion merlot syrah pours medium ruby red colour show aroma flavour raspberry plum cherry herb vanilla note cocoa mint spice palate dry balanced acidity fine tannin great herbed white meat,27797,750,13.5,6.0,sangiovese,Italy,Tuscany,,red,LCBO
Masi Modello Merlot Trevenezie IGT,24.1,charming merlotbased red thats crafted food friendly easy drinking style medium ruby red colour show aroma flavour fresh cherry plum spice hint earth vanilla palate dry medium bodied well balanced soft tannin great paired salumi roasted meat,27854,1500,12.0,7.0,merlot,Italy,,,red,LCBO
