name,price,prod_url
Domaine Jeeper Extra Brut Cuvee Naturelle,109.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/domaine-jeeper-extra-brut-cuvee-naturelle-438613
Champagne Eric Rodez Blanc de Blancs,110.25,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-eric-rodez-blanc-de-blancs-466382
Moet & Chandon Nectar Imperial,76.9,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/moet-chandon-nectar-imperial-509695
Champagne Leclerc Briant Brut Rose Organic,85.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-leclerc-briant-brut-rose-organic-345107
Ernest Rapeneau Limited Edition Extra Brut Champagne,54.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/ernest-rapeneau-limited-edition-extra-brut-champagne-96727
Sarl Champagne William Saintot Cuvee Seduction Champagne,82.5,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/sarl-champagne-william-saintot-cuvee-seduction-champagne-100197
Taittinger Brut Réserve Champagne,61.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/taittinger-brut-r%C3%A9serve-champagne-365312
Louis Roederer Brut Rosé Champagne 2013,102.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/louis-roederer-brut-ros%C3%A9-champagne-2013-368415
Moet & Chandon Ice Imperial Champagne,84.2,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/moet-chandon-ice-imperial-champagne-279455
Perrier-Jouët Grand Brut Champagne,74.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/perrier-jou%C3%ABt-grand-brut-champagne-155341
Billecart Salmon Brut Blanc De Blancs Champagne,119.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/billecart-salmon-brut-blanc-de-blancs-champagne-436625
Chopine Blanc de Noir Champagne,38.65,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/chopine-blanc-de-noir-champagne-554955
"Deinhard Green Label Riesling, Mosel",11.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/deinhard-green-label-riesling-mosel-8094
Cavit Collection Pinot Grigio delle Venezie IGT,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/cavit-collection-pinot-grigio-delle-venezie-igt-99218
Folonari Soave DOC,10.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/folonari-soave-doc-176461
Pelee Island Chardonnay Reserve VQA,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/pelee-island-chardonnay-reserve-vqa-216044
Napa Cellars Chardonnay 2016,29.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/napa-cellars-chardonnay-2016-225342
Cupcake Chardonnay,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/cupcake-chardonnay-230821
Schreiber Riesling Sonnenberg Dry 2014,18.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/schreiber-riesling-sonnenberg-dry-2014-237361
Sawmill Creek Pinot Grigio Chardonnay,40.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/sawmill-creek-pinot-grigio-chardonnay-247007
Pfaffl Austrian Sunshine 2015,18.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/pfaffl-austrian-sunshine-2015-248483
Imperium Tokaji Aszueszencia 2000,194.75,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/imperium-tokaji-aszueszencia-2000-258516
Santa Rita Reserva Sauvignon Blanc,15.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/santa-rita-reserva-sauvignon-blanc-275677
G. Marquis The Red Line Pinot Grigio VQA,12.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/white-wine-14002/g-marquis-the-red-line-pinot-grigio-vqa-276501
Beringer Main & Vine White Zinfandel,20.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/beringer-main-vine-white-zinfandel-60715
Batzella Bolgheri Rosato DOC PINKSY 2014,30.4,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/batzella-bolgheri-rosato-doc-pinksy-2014-307867
Gapsted Moscato Rosé 2016,15.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/gapsted-moscato-ros%C3%A9-2016-350503
Colle Uncinano Rosé 2015,14.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/colle-uncinano-ros%C3%A9-2015-447853
Peller Family Vineyards Rosé,16.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/peller-family-vineyards-ros%C3%A9-459917
Barafakas Rosé Semi Sweet Three Witches 2017,25.15,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/barafakas-ros%C3%A9-semi-sweet-three-witches-2017-501782
Inurrieta Mediodia Rosé 2017,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/-inurrieta-mediodia-ros%C3%A9-2017-524123
Kim Crawford Rosé,17.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/kim-crawford-ros%C3%A9-650325
Ricca Colour of Calmness Rose 2018,28.35,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/ricca-colour-of-calmness-rose-2018-810481
Malivoire Vivant Rosé 2018,40.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/malivoire-vivant-ros%C3%A9-2018-649657
Adorada Rosé,18.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/adorada-ros%C3%A9-639989
D'Ont Poke the Bear Rosé VQA,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/dont-poke-the-bear-ros%C3%A9-vqa-642884
Spumante Bambino,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/spumante-bambino-4762
Cook's Brut Sparkling,12.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/cooks-brut-sparkling-217927
Peller Estates Ice Cuvée VQA,34.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/peller-estates-ice-cuv%C3%A9e-vqa-284547
Scalchi Luca Spumante Cabernet Franc,18.7,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/scalchi-luca-spumante-cabernet-franc-359140
Tawse Spark Limestone Ridge Organic Sparkling Riesling 2016,20.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/tawse-spark-limestone-ridge-organic-sparkling-riesling-2016-370361
San Gregorio Prosecco Valdobbiadene Frizzante DOCG,24.85,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/san-gregorio-prosecco-valdobbiadene-frizzante-docg-564269
Boisset JCB No. 69 Brut Rosé Crémant de Bourgogne,29.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/boisset-jcb-no-69-brut-ros%C3%A9-cr%C3%A9mant-de-bourgogne-614453
Recaredo Turo d'en Mota 2004,189.7,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/recaredo-turo-den-mota-2004-771709
Filipa Pato Nossa Calcario Baga 2016,53.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/filipa-pato-nossa-calcario-baga-2016-818740
Bollicini Sparkling Cuvee,4.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/bollicini-sparkling-cuvee-647792
"Villa Sandi Prosecco Il Fresco DOC, Treviso",15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/villa-sandi-prosecco-il-fresco-doc-treviso-394387
Grande Cuvee 1531 De Aimery Cremant De Limoux,19.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/grande-cuvee-1531-de-aimery-cremant-de-limoux-428086
Cliff Lede Stags Leap District Cabernet Sauvignon 2016,119.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/cliff-lede-stags-leap-district-cabernet-sauvignon-2016-14217
Jacob's Creek Shiraz Cabernet Sauvignon,24.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/jacobs-creek-shiraz-cabernet-sauvignon-19612
Ruffino Il Ducale Toscana IGP,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ruffino-il-ducale-toscana-igp-27797
Villa Antinori Toscana IGT,26.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/villa-antinori-toscana-igt-53876
Santa Margherita Chianti Classico 2015,22.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/santa-margherita-chianti-classico-2015-91694
Konzelmann Canada Red VQA,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/konzelmann-canada-red-vqa-125260
Kaiken Leyenda Ultra Cabernet Sauvignon 2016,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/kaiken-leyenda-ultra-cabernet-sauvignon-2016-135202
Villa Maria Private Bin Pinot Noir Marlborough,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/villa-maria-private-bin-pinot-noir-marlborough-146548
Domaine Jean Bousquet Malbec Organic,14.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/domaine-jean-bousquet-malbec-organic-160952
Velletri Terre Di Volsci Riserva DOP,15.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/velletri-terre-di-volsci-riserva-dop-175141
Muga Reserva,26.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/muga-reserva-177345
Bear Flag Smooth Red Blend,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/bear-flag-smooth-red-blend-226514
Veuve Clicquot Brut Champagne,156.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-brut-champagne-572586
Deutz Brut Rosé Champagne,79.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/deutz-brut-ros%C3%A9-champagne-92833
Laurent-Perrier Cuvée Brut Rosé Champagne,99.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/laurent-perrier-cuv%C3%A9e-brut-ros%C3%A9-champagne-158550
Veuve Clicquot Brut Champagne,42.65,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-brut-champagne-389056
Champagne Gosset Celebris Rosé Extra Brut 2007,240.2,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-gosset-celebris-ros%C3%A9-extra-brut-2007-437482
Champagne William Saintot Blanc de Noirs,59.85,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-william-saintot-blanc-de-noirs-882571
Louis Roederer Brut Premier Champagne,74.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/louis-roederer-brut-premier-champagne-268771
Dom Pérignon Brut Vintage Champagne,259.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/dom-p%C3%A9rignon-brut-vintage-champagne-280461
Francois Dubois Cuvee Rose,59.75,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/francois-dubois-cuvee-rose-283472
Pol Roger Brut Champagne,67.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/pol-roger-brut-champagne-217158
Armand de Brignac Ace of Spades Brut Gold Champagne,305.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/armand-de-brignac-ace-of-spades-brut-gold-champagne-220244
Veuve Clicquot Rich Champagne,89.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-rich-champagne-424341
Thornbury Rosé 2018,19.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/thornbury-ros%C3%A9-2018-865246
Château d'Aquéria Tavel 2018,24.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/ch%C3%A2teau-daqu%C3%A9ria-tavel-2018-319368
Pink House Wine Co. Rosé VQA,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/pink-house-wine-co-ros%C3%A9-vqa-324558
Saale-Unstrut Dornfelder Rosé DQW Semi-Dry 2016,17.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/saale-unstrut-dornfelder-ros%C3%A9-dqw-semi-dry-2016-334382
King's Court Princess Rosé 2018,16.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/kings-court-princess-ros%C3%A9-2018-491050
Mas Des Cabres Estive IGP Rosé 2017,16.85,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/mas-des-cabres-estive-igp-ros%C3%A9-2017-519339
Mettler Epicenter Zinfandel 2015,40.15,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/mettler-epicenter-zinfandel-2015-543248
Three of Hearts Rosé 2018,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/three-of-hearts-ros%C3%A9-2018-552562
Bois Garde Vin Pays de Mediter Rosé,17.35,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/bois-garde-vin-pays-de-mediter-ros%C3%A9-636034
Mas des Bressades Cuvée Tradition Rosé 2018,16.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/mas-des-bressades-cuv%C3%A9e-tradition-ros%C3%A9-2018-950576
La Crema Pinot Noir Rosé 2018,27.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/la-crema-pinot-noir-ros%C3%A9-2018-668376
Tamaral Rosado Ribera del Duero 2015,18.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/tamaral-rosado-ribera-del-duero-2015-353325
Nadal Brut Resereva,22.75,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/nadal-brut-resereva-440973
Rosehall Run Pixie Sparkling Rosé VQA,19.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/rosehall-run-pixie-sparkling-ros%C3%A9-vqa-492959
Cervarola Il Cenrino 2016,24.15,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/cervarola-il-cenrino-2016-617612
AA Mirgin Laieta Rosé 2015,44.85,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/aa-mirgin-laieta-ros%C3%A9-2015-766253
JP Chenet Ice White,13.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/jp-chenet-ice-white-998351
Andrès Baby Duck,12.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/andr%C3%A8s-baby-duck-1123
Tselepos Method Traditionnelle Amalia Brut,28.85,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/tselepos-method-traditionnelle-amalia-brut-288737
Santo Sparkling Brut 2014,45.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/santo-sparkling-brut-2014-293588
Segura Viudas Heredad Reserva Brut Rosé Cava,39.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/segura-viudas-heredad-reserva-brut-ros%C3%A9-cava-314757
Spumante Bambino Peach,10.45,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/spumante-bambino-peach-329243
Martini & Rossi Asti,4.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/martini-rossi-asti-361790
Luc Belaire Rare Sparkling Rosé,39.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/sparkling-wine-14005/luc-belaire-rare-sparkling-ros%C3%A9-395384
Laurent-Perrier Brut Millésimé Champagne 2007,68.25,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/laurent-perrier-brut-mill%C3%A9sim%C3%A9-champagne-2007-983874
Veuve Clicquot Rose Champagne,91.7,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-rose-champagne-19661
Piper Heidsieck Brut Champagne,60.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/piper-heidsieck-brut-champagne-462432
Champagne Eric Rodez Cuvee Des Crayeres,96.8,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-eric-rodez-cuvee-des-crayeres-466374
Champagne Cuvée Lefebvre,47.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-cuv%C3%A9e-lefebvre-703628
LeClerc Briant Premier Cru Extra Brut NV,89.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/leclerc-briant-premier-cru-extra-brut-nv-818906
Veuve Clicquot Demi Sec Champagne,81.2,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-demi-sec-champagne-38307
Moet & Chandon Brut Imperial,41.25,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/moet-chandon-brut-imperial-453076
Billecart-Salmon Brut Soia Bois Champagne,119.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/billecart-salmon-brut-soia-bois-champagne-886044
Soutiran Brut Signature Grand Cru,69.85,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/soutiran-brut-signature-grand-cru-232230
Domaine Jeeper Brut Grand Assemblage,63.2,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/domaine-jeeper-brut-grand-assemblage-283480
Champange Hubert Paulet Brut Rose 2006,111.45,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champange-hubert-paulet-brut-rose-2006-466366
