name,price,prod_url
Folonari Valpolicella Classico DOC,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/folonari-valpolicella-classico-doc-828
Ruffino Chianti,14.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/ruffino-chianti-1743
Fontana Di Papa Red,14.75,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/fontana-di-papa-red-3038
Leeuwin Art Series Shiraz 2014,47.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/leeuwin-art-series-shiraz-2014-4929
Folonari Valpolicella Classico DOC,9.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/folonari-valpolicella-classico-doc-6254
"Torres Sangre De Toro Garnacha, Catalunya DO",14.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/torres-sangre-de-toro-garnacha-catalunya-do-6585
KWV Roodeberg Red,13.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/kwv-roodeberg-red-7187
Mogen David Concord KP,8.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/mogen-david-concord-kp-8789
Anselme La Fiole Du Pape Chateauneuf-Du-Pape AOC,45.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/anselme-la-fiole-du-pape-chateauneuf-du-pape-aoc-12286
Henry Of Pelham Pinot Noir VQA,16.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/henry-of-pelham-pinot-noir-vqa-13904
Cliff Lede Stags Leap District Cabernet Sauvignon 2016,119.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/cliff-lede-stags-leap-district-cabernet-sauvignon-2016-14217
Velletri Le Contrade Red IGP,18.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/velletri-le-contrade-red-igp-14878
Sogrape Mateus Rosé,10.5,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/sogrape-mateus-ros%C3%A9-166
Remy Pannier Rose D'Anjou AOC,15.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/remy-pannier-rose-danjou-aoc-12641
Sogrape Mateus Rose,18.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/sogrape-mateus-rose-12781
Flat Rock Pink Twisted Rosé 2018,17.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/flat-rock-pink-twisted-ros%C3%A9-2018-39974
Beringer Main & Vine White Zinfandel,20.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/beringer-main-vine-white-zinfandel-60715
Wildass Rosé 2018,18.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/wildass-ros%C3%A9-2018-71712
